genres,id,popularity,production_companies,runtime,vote_average,vote_count,title,collection
"[14, 878, 12]",902,9.822423,"[311, 590, 591, 592, 850, 851, 1871, 6639, 7237, 8170, 9335, 12009, 18367, 25020, 25021, 25129, 47532, 68517, 79437, 79438, 79439]",108.0,7.6,308.0,La Cité des Enfants Perdus,
"[18, 80]",37557,1.100915,"[2588, 4507, 23647]",108.0,6.5,17.0,摇啊摇，摇到外婆桥,
"[18, 80]",9909,9.481338,"[915, 10103, 10288]",99.0,6.4,249.0,Dangerous Minds,
"[878, 53, 9648]",63,12.297305,"[33, 507, 17031]",129.0,7.4,2470.0,Twelve Monkeys,
"[10749, 12]",78802,0.745542,[70801],50.0,6.8,4.0,"Guillaumet, les ailes du courage",
"[14, 18, 35, 10751]",9598,14.404764,"[33, 2537]",89.0,6.0,756.0,Babe,9435
"[36, 18, 10749]",47018,1.493361,"[694, 874, 8363, 19316, 30226, 31080, 44821]",121.0,6.4,16.0,Carrington,
[18],687,6.891317,"[406, 1382, 10163]",122.0,7.3,350.0,Dead Man Walking,
"[12, 36, 18, 10751]",139405,0.114469,[53390],51.0,3.5,2.0,Across the Sea of Time,
"[35, 10751, 10749]",33689,7.777735,"[6130, 6194, 11661, 89131]",101.0,6.1,149.0,It Takes Two,
"[35, 18, 10749]",9603,9.882383,[4],97.0,6.9,828.0,Clueless,
[18],34615,0.894647,"[53009, 85681, 89840]",106.0,6.7,13.0,"Cry, the Beloved Country",
"[18, 10752]",31174,4.561387,"[871, 34237]",104.0,6.9,50.0,Richard III,
"[28, 80, 18, 36]",11443,9.87957,"[175, 476, 915]",119.0,6.6,80.0,Dead Presidents,
"[18, 10749]",35196,10.979269,[14],117.0,6.3,30.0,Restoration,
"[28, 14]",9312,10.870138,"[12, 4174]",101.0,5.4,452.0,Mortal Kombat,9818
"[14, 18, 35, 53]",577,10.448481,"[364, 441]",106.0,6.7,177.0,To Die For,
"[18, 10749]",11861,4.485958,"[33, 56]",116.0,6.5,38.0,How To Make An American Quilt,
"[80, 9648, 53]",807,18.45743,"[12, 4286, 65394]",127.0,8.1,5915.0,Se7en,
"[12, 16, 18, 10751]",10530,13.280069,"[2, 10217]",81.0,6.7,1509.0,Pocahontas,136214
"[18, 10749]",8391,3.302524,[2480],96.0,5.9,10.0,When Night Is Falling,
"[18, 80, 53]",629,16.302466,"[361, 9168]",106.0,8.1,3334.0,The Usual Suspects,
"[28, 53, 18]",117164,0.595949,[],93.0,6.3,3.0,Guardian Angel,
"[35, 10749]",11448,15.899134,"[14, 1030]",95.0,6.7,145.0,Mighty Aphrodite,
"[18, 10769]",49133,1.361286,[],116.0,7.7,11.0,Lamerica,
"[28, 12, 35, 10751]",26441,5.982764,"[2, 175]",100.0,5.2,41.0,The Big Green,
[18],97406,4.093443,"[14, 7832]",115.0,6.1,15.0,Georgia,
[],124057,0.307075,"[7320, 10260]",89.0,3.0,1.0,Kids of the Round Table,
"[35, 18, 10749]",9089,8.416802,"[4, 802, 1382]",103.0,6.3,39.0,Home for the Holidays,
"[35, 18, 10749]",11010,10.168437,[],108.0,7.6,181.0,Il postino,
"[53, 18, 9648]",99040,0.120789,[],100.0,6.5,2.0,Le confessionnal,
"[12, 10751, 14]",11359,10.673296,"[4, 441, 862]",96.0,5.9,136.0,The Indian in the Cupboard,
"[18, 53]",17182,4.733526,[4],101.0,5.8,65.0,Eye for an Eye,
"[10402, 18, 10751]",2054,7.137117,"[915, 916, 1382, 10201]",137.0,6.9,115.0,Mr. Holland's Opus,
[35],10607,11.700115,"[14, 3492, 5441]",89.0,6.2,192.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,
"[35, 10749]",19760,2.174487,"[6194, 10210]",96.0,4.5,14.0,Two If by Sea,
[35],9536,6.387469,"[8411, 11061, 36390, 38003]",88.0,4.4,110.0,Bio-Dome,
"[28, 878]",11525,2.49535,[12],92.0,2.8,32.0,Lawnmower Man 2: Beyond Cyberspace,124935
"[18, 10751]",40628,4.046208,[14],85.0,5.4,11.0,Two Bits,
"[35, 10749]",4482,2.518051,"[82, 1614, 3823, 5358]",95.0,6.0,43.0,Gazon maudit,
[35],10634,14.56965,[12],91.0,7.0,513.0,Friday,43563
"[27, 28, 53, 80]",755,15.339153,"[59, 7405, 11705, 53009]",108.0,6.9,1644.0,From Dusk Till Dawn,10924
"[28, 53, 10749]",11859,5.912223,"[1885, 6194]",91.0,4.1,54.0,Fair Game,
"[35, 18, 10749]",28387,3.367276,"[5841, 5842]",96.0,7.0,36.0,Kicking and Screaming,
"[18, 36]",48750,1.479446,"[1742, 5358, 22123]",175.0,6.6,8.0,Les misérables,
"[18, 10749]",20927,10.412194,"[12, 4286]",87.0,5.1,27.0,Bed of Roses,
"[35, 10751]",36929,2.936443,"[6194, 10210]",90.0,3.9,16.0,Big Bully,
"[27, 878]",9102,12.758848,"[3388, 4899, 7958, 23096, 23097, 23098]",108.0,6.1,154.0,Screamers,122017
[99],124626,0.133893,"[4606, 83201, 93174]",70.0,7.3,3.0,Nico Icon,
"[18, 53]",27526,5.756462,[14],111.0,6.1,74.0,The Crossing Guard,
"[18, 53]",9623,6.010579,[441],118.0,5.5,91.0,The Juror,
"[10751, 18]",46785,1.196256,"[38953, 38954]",85.0,7.5,20.0,بادکنک سفید,
"[18, 80]",400,4.486179,[14],116.0,6.7,87.0,Things to Do in Denver When You're Dead,
"[18, 35]",880,2.030174,"[575, 576, 577]",102.0,7.2,26.0,Antonia,
"[10749, 18]",146599,0.252287,"[38196, 38197]",115.0,4.5,2.0,Once Upon a Time... When We Were Colored,
[],188588,0.531159,[],108.0,0.0,0.0,Last Summer in the Hamptons,
"[18, 10749]",8447,2.15166,"[2492, 8888]",118.0,6.3,17.0,Angels and Insects,
"[28, 18]",10534,9.568604,"[915, 1644, 1645]",129.0,6.3,86.0,White Squall,
"[12, 35, 10751]",17414,4.814825,"[306, 3311]",88.0,5.1,59.0,Dunston Checks In,
[35],13997,8.963037,[4],87.0,6.0,124.0,Black Sheep,
"[80, 18, 53]",2086,6.848591,[4],90.0,6.1,190.0,Nick of Time,
[18],61548,0.411424,"[14, 4665]",91.0,6.7,3.0,The Journey of August King,
"[18, 27, 53, 10749]",9095,12.866139,"[559, 18737]",104.0,5.7,77.0,Mary Reilly,
"[35, 27, 10749]",12158,9.071127,[4],100.0,4.5,113.0,Vampire in Brooklyn,
"[35, 18, 10749]",9283,4.670562,"[14, 979]",112.0,6.6,103.0,Beautiful Girls,
"[28, 12, 18, 53]",9208,14.957626,"[306, 456, 11362]",108.0,5.7,459.0,Broken Arrow,
[35],40154,0.513391,"[97, 75942]",99.0,7.5,6.0,A Midwinter's Tale,
[18],406,12.108196,"[802, 1382, 5358, 5869, 16366, 22684, 68517, 68518]",98.0,7.9,695.0,La Haine,
"[28, 12, 18, 878, 53]",45549,2.657647,[181],105.0,5.6,13.0,Shopping,
[99],63076,0.638211,"[3324, 7025, 12113, 12911, 12912, 12913]",106.0,6.8,4.0,Heidi Fleiss: Hollywood Madam,
"[18, 53]",11062,4.807223,"[5, 97]",111.0,6.0,67.0,City Hall,
"[35, 80, 18]",13685,6.904831,"[18, 441]",91.0,6.8,285.0,Bottle Rocket,
"[35, 10749]",47475,3.329264,[9195],96.0,3.3,16.0,Mr. Wrong,
"[18, 9648, 878, 53]",2045,2.464425,"[8411, 10308, 10355]",106.0,5.3,22.0,Unforgettable,
[35],9614,9.592265,"[33, 1606, 3929]",92.0,6.5,767.0,Happy Gilmore,
"[18, 10749]",688,5.951077,"[56, 171, 6194]",135.0,7.3,397.0,The Bridges of Madison County,
"[18, 35, 10751]",11907,1.015068,[],104.0,5.1,5.0,Keiner liebt mich,
"[28, 35, 10402, 10751, 12]",10874,6.902423,"[2, 2504, 6254]",100.0,6.5,93.0,Muppet Treasure Island,256377
[99],89333,0.976707,[],95.0,7.0,2.0,Catwalk,
[80],96357,0.001346,[],110.0,0.0,0.0,Headless Body in Topless Bar,
"[28, 18, 36, 10752]",197,20.755149,"[4564, 7965, 11353]",177.0,7.7,3404.0,Braveheart,
"[80, 18]",103,14.092713,"[441, 46059, 46060]",114.0,8.1,2632.0,Taxi Driver,
"[80, 28, 35, 53]",33542,12.314278,"[12, 2521]",91.0,6.5,245.0,紅番區,
"[18, 53]",43566,2.938293,"[175, 915]",108.0,5.8,37.0,Before and After,
[18],71754,0.372697,"[806, 2055, 3498, 9116, 12745, 17027, 22150, 38673, 38674, 40534, 85045]",114.0,7.5,2.0,Margaret's Museum,
[35],43612,1.254885,"[83, 591, 694, 883, 885]",106.0,7.0,23.0,Le Bonheur est dans le pré,
"[99, 18, 10769]",51352,0.243986,[],117.0,7.3,4.0,Anne Frank Remembered,
"[35, 80, 18]",16934,6.178497,[3236],99.0,6.9,19.0,The Young Poisoner's Handbook,
"[35, 10749]",10324,2.891918,"[559, 11061]",92.0,5.4,11.0,If Lucy Fell,
"[35, 18]",78406,1.522412,[11308],113.0,5.1,7.0,Steal Big Steal Little,
"[28, 12, 35, 18, 10751]",55731,1.317878,[559],100.0,5.2,21.0,Race the Sun,
[18],32119,0.86539,[],90.0,7.0,7.0,The Boys of St. Vincent,
"[35, 10749]",11066,6.506983,[4],117.0,5.4,139.0,Boomerang,
"[18, 35, 10749]",11104,6.778979,"[540, 10932]",102.0,7.9,249.0,重慶森林,
"[18, 10749]",37975,1.702639,[371],113.0,6.8,29.0,L'uomo delle stelle,
"[35, 10749]",2074,5.579088,[14],92.0,6.3,66.0,Flirting with Disaster,
[14],27793,6.252377,"[264, 1766, 1979, 6194, 53009]",95.0,4.4,105.0,The NeverEnding Story III,91430
[18],44284,0.406754,"[22029, 22618, 71842]",116.0,4.3,3.0,صمت القصور,
[],290157,0.001178,[],87.0,0.0,0.0,Jupiter's Wife,
"[35, 10749]",110972,0.699066,[],95.0,7.0,2.0,Pie in the Sky,
"[35, 18]",32622,2.197439,[],99.0,5.6,9.0,Angela,
"[18, 10749, 10752]",73067,0.637554,"[8, 181, 1898, 5358]",101.0,5.4,4.0,Frankie Starlight,
"[28, 53, 9648, 10749]",11863,11.418917,[4],95.0,5.1,45.0,Jade,
"[35, 18, 10749]",55475,0.291021,"[93488, 93489]",102.0,5.5,1.0,Nueba Yol,
"[10402, 99]",124636,0.001838,[],87.0,0.0,0.0,Sonic Outlaws,
[35],9101,5.184977,[306],92.0,5.6,110.0,Down Periscope,
[99],123360,0.276401,[68229],97.0,6.5,2.0,From the Journals of Jean Seberg,
[35],5757,0.540436,[],86.0,3.8,2.0,Man of the Year,
[18],39428,0.370342,"[181, 38778, 94477, 94478]",91.0,7.2,5.0,The Neon Bible,
[],124639,0.001205,[],122.0,0.0,0.0,Target,
"[18, 10749]",9302,3.402749,"[1504, 9195]",119.0,5.9,51.0,Up Close & Personal,
[35],11000,6.49968,[60],117.0,6.7,303.0,The Birdcage,
[18],249882,0.918504,[],125.0,7.0,2.0,Gospa,
"[35, 18, 10749]",16388,2.039196,[43],98.0,6.3,23.0,The Brothers McMullen,
"[28, 35, 80, 53]",9737,9.262184,"[5, 10288]",118.0,6.5,1729.0,Bad Boys,14890
"[28, 12, 18, 10751]",30765,2.375865,[6194],81.0,5.0,31.0,The Amazing Panda Adventure,
"[18, 80]",10474,7.415144,"[12, 3492]",102.0,7.2,472.0,The Basketball Diaries,
"[10749, 18, 35]",22279,0.922958,"[8, 5996, 12745, 16027]",113.0,6.0,11.0,An Awfully Big Adventure,
"[80, 35, 18, 53]",30157,1.759012,"[181, 3644, 3906, 7248, 16366, 37909]",105.0,6.5,21.0,Amateur,
[18],568,18.761467,"[23, 33]",140.0,7.3,1637.0,Apollo 13,
[12],11780,10.193549,"[60, 8989]",139.0,6.5,151.0,Rob Roy,
"[18, 27]",34996,3.137285,"[236, 1214, 5353]",82.0,6.4,46.0,The Addiction,
"[28, 80, 14]",414,13.321354,"[6194, 31080]",121.0,5.2,1529.0,Batman Forever,120794
"[18, 10749]",649,10.142662,"[386, 387, 11290]",101.0,7.3,163.0,Belle de jour,
"[18, 53]",1873,2.04189,"[5, 97]",100.0,6.4,21.0,Beyond Rangoon,
[35],5894,11.528147,"[14, 30334]",83.0,6.8,28.0,Blue in the Face,439053
"[28, 35]",1775,5.391556,[1382],91.0,5.9,57.0,Canadian Bacon,
"[14, 35, 10751]",8839,12.812539,"[33, 56, 11098]",100.0,6.0,1045.0,Casper,8819
"[9648, 80, 18]",20649,4.558992,"[33, 4319]",128.0,6.8,69.0,Clockers,
"[28, 12, 18, 9648, 878, 53]",10329,7.260574,"[4, 7383]",109.0,5.0,214.0,Congo,
"[28, 53, 18]",8963,8.657365,"[915, 10288]",116.0,7.0,508.0,Crimson Tide,
[99],26564,3.620388,[4532],119.0,7.6,71.0,Crumb,
"[53, 28, 80]",8068,6.950458,"[5, 11705]",104.0,6.8,898.0,Desperado,9649
"[18, 9648, 53]",8512,4.646132,"[559, 2510]",102.0,6.3,88.0,Devil in a Blue Dress,
"[28, 53]",1572,15.138855,"[306, 1504]",128.0,6.9,2094.0,Die Hard: With a Vengeance,1570
"[28, 35, 80, 18]",13552,7.120806,"[729, 1474, 2765, 18902]",80.0,5.6,57.0,The Doom Generation,259398
"[18, 80]",259209,0.523575,"[9195, 20740]",116.0,0.0,0.0,Feast of July,
"[28, 12, 18, 10749]",6520,15.178338,"[441, 10158]",134.0,5.9,319.0,First Knight,
[12],9073,7.575098,"[508, 644, 5358, 5739, 6194]",95.0,5.5,130.0,Free Willy 2 - The Adventure Home,9328
"[28, 80, 53, 18]",10428,14.810519,"[60, 87394]",107.0,6.2,406.0,Hackers,
"[35, 18, 10749]",17447,3.196456,"[12909, 12910]",92.0,6.5,19.0,Jeffrey,
"[12, 28, 18, 878, 53]",9886,11.715868,"[559, 2480]",97.0,5.5,380.0,Johnny Mnemonic,
[878],9482,8.184815,"[915, 1504]",96.0,5.4,643.0,Judge Dredd,
"[35, 18]",19326,3.676921,[559],88.0,4.0,34.0,Jury Duty,
"[18, 80]",9344,4.877872,[14],91.0,6.8,280.0,Kids,
"[18, 35]",9071,10.058329,"[13187, 13190]",89.0,7.2,64.0,Living in Oblivion,
"[9648, 27, 53]",8973,4.102409,"[60, 3557]",119.0,5.9,87.0,Lord of Illusions,
"[35, 18]",15730,0.354014,"[1203, 2267, 4350, 7320, 7828, 11578, 35859]",100.0,7.0,7.0,Love & Human Remains,
"[18, 10751, 10749]",47608,2.624771,[9195],95.0,5.5,27.0,Mad Love,
"[10749, 35]",2293,8.25547,"[33, 37, 11462, 16934]",94.0,6.8,400.0,Mallrats,
"[28, 12, 878, 10751, 14]",9070,7.024227,"[306, 2106, 9255]",92.0,5.2,153.0,Mighty Morphin Power Rangers: The Movie,286162
"[35, 18, 10749]",68274,1.01115,"[1382, 10163]",100.0,5.6,10.0,Moonlight and Valentino,
"[53, 10769]",48787,2.466066,"[16561, 38959, 38960]",95.0,6.4,36.0,Mute Witness,
"[27, 53]",34574,7.720056,[37897],93.0,5.9,12.0,Nadja,
"[80, 18, 9648, 53, 28]",1642,13.304342,[5],114.0,5.6,359.0,The Net,328073
[35],11472,8.482834,"[306, 436]",103.0,5.5,171.0,Nine Months,
[35],36196,1.165039,[37890],94.0,5.8,14.0,Party Girl,
"[14, 27, 53]",11980,10.187623,[7405],98.0,6.4,139.0,The Prophecy,9068
"[14, 35, 18]",58372,0.119713,"[2492, 3906, 28205]",91.0,10.0,1.0,Reckless,
[18],32646,8.180047,"[1422, 3906, 38692, 39861]",119.0,7.2,62.0,Safe,
"[18, 36, 10749]",10533,6.752119,"[915, 1504]",135.0,5.5,111.0,The Scarlet Letter,
[99],56088,0.159596,[],93.0,5.3,2.0,The Show,
[18],10802,17.502375,"[60, 183, 14723]",128.0,4.9,261.0,Showgirls,247294
"[35, 18]",10149,5.552946,[14],112.0,7.2,115.0,Smoke,439053
[35],18402,3.743212,"[705, 6194, 16368]",106.0,5.7,60.0,Something to Talk About,
"[878, 27, 28]",9348,13.492845,[8411],108.0,5.5,457.0,Species,9887
[18],139408,0.913522,"[171, 3864, 6194]",109.0,6.6,6.0,The Stars Fell on Henrietta,
"[80, 18, 878, 53]",281,11.223055,[574],145.0,6.8,334.0,Strange Days,
"[18, 10749]",5967,8.133881,"[1080, 1147, 14680]",91.0,7.6,119.0,Les parapluies de Cherbourg,
[53],79593,1.820419,"[915, 1382, 10201]",99.0,4.6,9.0,The Tie That Binds,
"[18, 14]",47939,11.002046,[11308],115.0,6.1,18.0,Three Wishes,
"[18, 10749]",36834,4.546552,"[6849, 16026, 16027]",111.0,6.5,112.0,Total Eclipse,
[35],9090,7.653446,"[33, 56]",105.0,6.3,117.0,"To Wong Foo, Thanks for Everything! Julie Newmar",
"[28, 53]",3512,7.490247,"[508, 6194, 17825, 21480, 63906]",100.0,5.6,217.0,Under Siege 2: Dark Territory,112399
"[35, 18, 10751]",52856,2.881689,[915],93.0,6.4,9.0,Unstrung Heroes,
[99],77350,0.786023,[],73.0,6.0,6.0,Unzipped,
"[18, 10749]",9560,9.715639,"[306, 2851]",103.0,6.5,168.0,A Walk in the Clouds,
"[12, 28]",9804,16.885184,"[33, 1073, 1302, 6092]",135.0,5.9,1017.0,Waterworld,
[18],31611,1.834099,"[6068, 6911, 11661]",89.0,5.1,25.0,White Man's Burden,
"[28, 37]",65796,8.922139,[60],98.0,5.9,27.0,Wild Bill,
[18],49805,3.727644,[4],97.0,6.0,11.0,The Browning Version,
"[12, 28, 35, 80, 10751]",26258,3.287036,[306],90.0,4.9,29.0,Bushwhacked,
[18],50797,2.486073,"[5358, 6453, 6454]",135.0,6.7,35.0,Утомлённые солнцем,23170
"[18, 10752]",19155,3.525649,"[6367, 12745]",113.0,7.7,45.0,Before the Rain,
"[18, 10749]",76,11.304979,"[98, 6194]",105.0,7.7,984.0,Before Sunrise,123800
[35],11017,6.638116,[6365],89.0,6.2,464.0,Billy Madison,
"[18, 53]",37141,2.761837,[18189],90.0,4.7,27.0,The Babysitter,
"[35, 18]",9382,3.030309,"[508, 644, 5358, 10104, 16192]",115.0,6.3,48.0,Boys on the Side,
"[18, 10751]",6715,2.686342,"[33, 1595]",97.0,7.2,58.0,The Cure,
"[53, 18, 27, 9648]",18256,2.26977,[4867],95.0,5.8,40.0,Castle Freak,
"[18, 10751, 10749]",22625,2.605521,"[364, 1898, 4127, 23808]",103.0,6.5,30.0,Circle of Friends,
[35],2292,10.513367,"[14, 16934]",92.0,7.4,769.0,Clerks,182813
"[10749, 18, 35]",1909,7.438934,"[12, 70]",97.0,6.3,184.0,Don Juan DeMarco,
"[18, 53, 80, 9648, 10749]",8984,11.812244,"[6194, 11407]",123.0,5.9,217.0,Disclosure,
[53],61813,0.155859,"[15709, 52095]",0.0,2.5,1.0,Dream Man,
"[28, 12, 53]",4954,9.579155,[4],101.0,5.1,91.0,Drop Zone,
"[80, 35, 14]",62488,0.710671,"[11308, 11661]",0.0,5.3,9.0,Destiny Turns on the Radio,
"[18, 53, 9648]",10531,5.484156,"[8, 181, 826, 3823, 5358, 8277, 68141]",103.0,7.1,92.0,Death and the Maiden,
"[80, 18, 9648]",11929,5.8025,"[97, 441]",132.0,7.1,183.0,Dolores Claiborne,
[35],8467,9.844558,"[12, 11061]",107.0,6.5,1894.0,Dumb and Dumber,96665
"[35, 18, 10749]",10451,4.860016,"[5528, 10565, 25345]",123.0,7.5,76.0,飲食男女,
"[18, 9648]",20156,5.378467,"[14, 10166, 12800]",103.0,6.5,64.0,Exotica,
"[53, 35, 80, 10749]",18395,4.322726,[11308],113.0,4.3,28.0,Exit to Eden,
"[35, 18, 36]",522,11.720358,[9195],127.0,7.3,639.0,Ed Wood,
"[35, 10749]",397,9.146544,"[306, 1382, 10163, 34207]",111.0,6.2,179.0,French Kiss,
"[35, 18, 10749]",10525,16.236745,"[5, 97]",101.0,6.1,38.0,Forget Paris,
"[28, 12, 18, 10751]",27985,2.657337,[306],87.0,5.6,27.0,Far from Home: The Adventures of Yellow Dog,
"[10749, 16, 10751, 35, 12]",15789,10.177977,[2],78.0,6.7,404.0,A Goofy Movie,410261
"[18, 53]",27303,8.182165,[559],103.0,5.0,24.0,Hideaway,
"[18, 10751, 14]",21183,4.953936,[21],96.0,6.6,48.0,Fluke,
"[36, 18]",10954,8.935058,"[1429, 2359, 37581]",111.0,5.9,20.0,Farinelli,
"[18, 10751, 14]",47867,0.398924,[],90.0,3.0,4.0,Gordy,
"[14, 16, 878, 10751]",43475,0.090452,[],77.0,5.0,2.0,Gumby: The Movie,
"[18, 28, 53, 80]",72031,1.012197,[14],109.0,5.4,9.0,The Glass Shield,
[99],14275,9.47666,"[8, 13042]",171.0,7.7,91.0,Hoop Dreams,
"[18, 14]",1024,9.438042,"[11, 14, 294, 2306]",99.0,6.9,299.0,Heavenly Creatures,
"[35, 10751]",17207,2.688562,"[175, 915]",113.0,6.0,17.0,Houseguest,
"[18, 10402, 10749]",13701,7.983666,"[5, 2630, 4564]",121.0,6.9,90.0,Immortal Beloved,
"[35, 10751, 18]",14819,9.546707,"[2, 175]",100.0,6.0,97.0,Heavyweights,
"[28, 53]",32631,2.756986,"[33, 11393]",106.0,6.0,25.0,The Hunted,
"[35, 18, 10749]",11777,5.146352,[4],100.0,5.9,112.0,I.Q.,
"[27, 10749]",628,11.970205,[360],123.0,7.2,1558.0,Interview with the Vampire,217704
"[18, 10749]",87729,1.596058,"[2370, 9195]",139.0,5.2,10.0,Jefferson in Paris,
"[35, 80]",18713,0.748846,"[175, 9195]",82.0,4.8,10.0,The Jerky Boys,
"[35, 10751, 10749]",6280,6.710215,"[33, 8816]",109.0,4.7,381.0,Junior,
"[28, 18, 9648, 53]",9061,9.195256,"[414, 6194, 36854]",102.0,6.0,124.0,Just Cause,
"[12, 14, 35, 878, 10751]",37108,5.874511,"[2, 4063]",89.0,4.3,40.0,A Kid in King Arthur's Court,
"[28, 80, 18, 53]",6071,7.797512,[306],101.0,5.7,83.0,Kiss of Death,
"[12, 28, 878]",11,42.149697,"[1, 306]",121.0,8.1,6778.0,Star Wars,10
"[18, 10749]",9587,9.774994,[5],115.0,7.0,222.0,Little Women,
"[18, 10751, 14]",19101,7.731725,[6194],97.0,7.4,207.0,A Little Princess,
[18],49980,0.84508,"[181, 983]",101.0,7.4,14.0,Ladybird Ladybird,
"[80, 18]",17961,1.948315,[9209],100.0,6.6,22.0,L'Enfer,
"[18, 10749]",18183,4.126083,"[84803, 84804]",105.0,6.6,70.0,Como agua para chocolate,
"[12, 18, 10749, 10752]",4476,12.199047,"[348, 559, 1656]",133.0,7.2,636.0,Legends of the Fall,
"[12, 35, 10751]",11008,9.253362,[33],95.0,6.1,164.0,Major Payne,
"[28, 18]",47504,1.861292,"[8, 12, 285]",98.0,6.4,31.0,Little Odessa,
"[80, 18]",32325,1.788829,"[181, 2832, 3268, 36836]",92.0,5.7,9.0,Mi Vida Loca,
"[18, 10749]",43742,3.290192,[6194],108.0,4.3,11.0,Love Affair,
[18],28313,7.698526,[4],106.0,6.4,28.0,Losing Isaiah,
"[35, 18, 36]",11318,4.81307,"[181, 798, 23022]",107.0,6.7,67.0,The Madness of King George,
"[18, 27, 878, 10749]",3036,14.287753,"[70, 559]",123.0,6.1,272.0,Frankenstein,
"[28, 35, 10751]",40490,2.558118,[2],96.0,5.1,40.0,Man of the House,
"[35, 18, 10749]",24070,2.899608,[559],97.0,5.2,37.0,Mixed Nuts,
"[35, 10749]",8986,3.770115,"[4, 862]",108.0,5.6,49.0,Milk Money,
"[14, 18, 10751]",10510,5.831622,[306],114.0,6.4,199.0,Miracle on 34th Street,
"[35, 10749]",17402,1.137266,[915],95.0,5.6,7.0,Miami Rhapsody,
"[35, 18]",38722,3.121288,"[70, 3906, 20928, 89873]",128.0,7.0,11.0,My Family,
"[80, 18]",8438,9.518564,"[2428, 6194]",122.0,6.9,140.0,Murder in the First,
"[18, 35]",11593,2.891269,"[4, 594, 761]",110.0,7.0,56.0,Nobody's Fool,
"[18, 53]",1945,5.930957,"[306, 802, 1382]",112.0,6.1,128.0,Nell,
"[80, 18]",39310,0.629955,[4319],98.0,6.9,7.0,New Jersey Drive,
"[28, 53, 80, 18]",109560,0.004537,"[7260, 42935]",93.0,0.0,0.0,New York Cop,
[27],56428,0.426952,[11139],89.0,4.0,4.0,Beyond Bedlam,
"[878, 28, 53]",63105,1.466491,"[7954, 21437]",83.0,4.6,10.0,Nemesis 2 - Nebula,286948
"[18, 10749]",131957,0.769522,[23098],100.0,7.4,4.0,Nina Takes a Lover,
"[80, 53, 18]",241,11.226856,"[508, 644, 4198, 6194, 10104, 68551]",119.0,6.9,927.0,Natural Born Killers,
"[35, 18, 10749]",9058,4.936761,[559],115.0,6.4,92.0,Only You,
[18],527,4.025276,"[293, 294, 295]",99.0,7.6,106.0,Once Were Warriors,300546
"[18, 10749, 53]",18220,6.448039,"[12, 17067, 17068]",106.0,4.6,32.0,Poison Ivy II: Lily,48188
